Pclass,Sex,Age,Fare,FamilySize,IsAlone,FarePerPerson,CabinKnown,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Title_Sir,Title_the Countess,AgeGroup_Teen,AgeGroup_Young,AgeGroup_Adult,AgeGroup_Elder,FareCategory_Med,FareCategory_Med-High,FareCategory_High,Embarked_Q,Embarked_S,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U,Title_Master
3,0,22.0,7.25,2,0,3.625,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
1,1,38.0,71.2833,2,0,35.64165,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0
3,1,26.0,7.925,1,1,7.925,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
1,1,35.0,53.1,2,0,26.55,1,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0
3,0,35.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,8.4583,1,1,8.4583,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0
1,0,54.0,51.8625,1,1,51.8625,1,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,0
3,0,2.0,21.075,5,0,4.215,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,1,27.0,11.1333,3,0,3.7111,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
2,1,14.0,30.0708,2,0,15.0354,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
3,1,4.0,16.7,3,0,5.566666666666666,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,0
1,1,58.0,26.55,1,1,26.55,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0
3,0,20.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,39.0,31.275,7,0,4.4678571428571425,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,1,14.0,7.8542,1,1,7.8542,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
2,1,55.0,16.0,1,1,16.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,0,2.0,29.125,6,0,4.854166666666667,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0
2,0,31.0,13.0,1,1,13.0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,1,31.0,18.0,2,0,9.0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,1,31.0,7.225,1,1,7.225,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2,0,35.0,26.0,1,1,26.0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
2,0,34.0,13.0,1,1,13.0,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0
3,1,15.0,8.0292,1,1,8.0292,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0
1,0,28.0,35.5,1,1,35.5,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0
3,1,8.0,21.075,5,0,4.215,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,1,38.0,31.3875,7,0,4.483928571428572,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,7.225,1,1,7.225,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1,0,19.0,263.0,6,0,43.833333333333336,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0
3,1,18.0,7.8792,1,1,7.8792,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
3,0,26.0,7.8958,1,1,7.8958,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
1,0,40.0,27.7208,1,1,27.7208,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
1,1,40.0,146.5208,2,0,73.2604,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0
3,1,18.0,7.75,1,1,7.75,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
2,0,66.0,10.5,1,1,10.5,0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,0
1,0,28.0,82.1708,2,0,41.0854,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
1,0,42.0,52.0,2,0,26.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,7.2292,1,1,7.2292,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
3,0,21.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,1,18.0,18.0,3,0,6.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,1,14.0,11.2417,2,0,5.62085,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
3,1,40.0,9.475,2,0,4.7375,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
2,1,27.0,21.0,2,0,10.5,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,7.8958,1,1,7.8958,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2,1,3.0,41.5792,4,0,10.3948,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
3,1,19.0,7.8792,1,1,7.8792,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
3,0,26.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,15.5,2,0,7.75,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0
3,1,18.0,7.75,1,1,7.75,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
3,0,26.0,21.6792,3,0,7.226400000000001,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
3,1,18.0,17.8,2,0,8.9,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,0,7.0,39.6875,6,0,6.614583333333333,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,0,21.0,7.8,1,1,7.8,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
1,1,49.0,76.7292,2,0,38.3646,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0
2,1,29.0,26.0,2,0,13.0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
1,0,65.0,61.9792,2,0,30.9896,1,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,0
1,0,40.0,35.5,1,1,35.5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0
2,1,21.0,10.5,1,1,10.5,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,28.5,7.2292,1,1,7.2292,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2,1,5.0,27.75,4,0,6.9375,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,0,11.0,46.9,8,0,5.8625,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,0,22.0,7.2292,1,1,7.2292,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1,1,38.0,80.0,1,1,80.0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0
1,0,45.0,83.475,2,0,41.7375,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0
3,0,4.0,27.9,6,0,4.6499999999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
1,0,40.0,27.7208,1,1,27.7208,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
3,0,4.0,15.2458,3,0,5.081933333333333,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
2,1,29.0,10.5,1,1,10.5,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0
3,0,19.0,8.1583,1,1,8.1583,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,1,17.0,7.925,7,0,1.1321428571428571,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,8.6625,3,0,2.8874999999999997,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
2,0,32.0,10.5,1,1,10.5,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,1,16.0,46.9,8,0,5.8625,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
2,0,21.0,73.5,1,1,73.5,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,14.4542,2,0,7.2271,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
3,0,32.0,56.4958,1,1,56.4958,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,0,25.0,7.65,1,1,7.65,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
3,0,26.0,7.8958,1,1,7.8958,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
2,0,0.83,29.0,3,0,9.666666666666666,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,1,30.0,12.475,1,1,12.475,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,22.0,9.0,1,1,9.0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,29.0,9.5,1,1,9.5,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,1,18.0,7.7875,1,1,7.7875,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
1,0,28.0,47.1,1,1,47.1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
2,1,17.0,10.5,1,1,10.5,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,1,33.0,15.85,4,0,3.9625,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
3,0,16.0,34.375,5,0,6.875,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0
3,0,26.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
1,1,23.0,263.0,6,0,43.833333333333336,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,0
3,0,24.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,29.0,8.05,1,1,8.05,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0
3,0,20.0,7.8542,1,1,7.8542,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
1,0,46.0,61.175,2,0,30.5875,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0
3,0,26.0,20.575,4,0,5.14375,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
